blkaddr,offense,time,x,y
1000 CRAGMONT AV,ASSAULT/BATTERY FEL.,2019-04-28 11:35:00,-122.265828,37.891068
1900 SHATTUCK AV,ASSAULT/BATTERY MISD.,2019-04-28 11:50:00,-122.268616,37.873687
2100 FIFTH ST,BURGLARY AUTO,2019-04-28 23:45:00,-122.29833500000001,37.86626
2700 HASTE ST,THEFT FROM PERSON,2019-04-28 18:15:00,-122.254084,37.866568
CAMPUS DRIVE & GLENDALE AV,VEHICLE STOLEN,2019-04-28 04:48:00,-122.254405,37.885525
1000 CRAGMONT AVE,ASSAULT/BATTERY FEL.,2019-04-28 11:35:00,-122.265828,37.891068
3300 MARTIN LUTHER KING JR WY,DOMESTIC VIOLENCE,2019-04-28 08:00:00,-122.271561,37.848611
2000 CHANNING WY,BURGLARY AUTO,2019-04-28 14:00:00,-122.269774,37.865501
2100 ALLSTON WY,DOMESTIC VIOLENCE,2019-04-28 21:45:00,-122.26788300000001,37.86939
1700 SAN PABLO AV,BURGLARY COMMERCIAL,2019-04-28 01:00:00,-122.293558,37.87325
2400 CURTIS ST,VEHICLE STOLEN,2019-04-28 18:30:00,-122.288255,37.863099
2000 CHANNING WY,BURGLARY AUTO,2019-04-28 16:00:00,-122.269774,37.865501
1400 SHATTUCK AV,BURGLARY COMMERCIAL,2019-04-29 21:25:00,-122.269551,37.881957
2000 BANCROFT WY,BURGLARY AUTO,2019-04-29 16:29:00,-122.269908,37.867332
2000 CHANNING WY,BURGLARY AUTO,2019-04-29 13:45:00,-122.269774,37.865501
2000 BANCROFT WY,VANDALISM,2019-04-29 21:20:00,-122.269908,37.867332
2300 DURANT AV,THEFT FELONY (OVER $950),2019-04-29 12:55:00,-122.26324,37.867259000000004
2000 BANCROFT WY,BURGLARY AUTO,2019-04-29 19:54:00,-122.269908,37.867332
2300 SACRAMENTO ST,THEFT FELONY (OVER $950),2019-04-29 09:00:00,-122.281601,37.865815999999995
1800 EUCLID AV,FRAUD/FORGERY,2019-04-29 12:00:00,-122.26033600000001,37.876045
1700 FOURTH ST,THEFT MISD. (UNDER $950),2019-04-29 16:25:00,-122.301255,37.871883000000004
1300 TENTH ST,BURGLARY AUTO,2019-04-29 20:35:00,-122.296885,37.879968
1400 CORNELL AV,BURGLARY AUTO,2019-04-29 20:15:00,-122.292046,37.87742
2200 ROOSEVELT AV,MISSING JUVENILE,2019-04-29 21:00:00,-122.276063,37.868194
2000 CHANNING WY,BURGLARY AUTO,2019-04-29 17:00:00,-122.269774,37.865501
3000 SHATTUCK AV,MISSING ADULT,2019-04-29 11:30:00,-122.266475,37.855026
1300 DWIGHT WY,IDENTITY THEFT,2019-04-29 00:00:00,-122.28546599999999,37.861627
2000 ESSEX ST,MISSING ADULT,2019-04-29 07:27:00,-122.268286,37.853552
2900 KING ST,DISTURBANCE,2019-04-29 18:00:00,-122.274429,37.855678000000005
177 HILLCREST,FRAUD/FORGERY,2019-04-29 00:01:00,-122.244206,37.852727
2700 SHATTUCK AV,VEHICLE STOLEN,2019-04-29 11:45:00,-122.267177,37.859802
1800 SECOND ST,BURGLARY COMMERCIAL,2019-04-29 01:41:00,-122.30292,37.869594
1800 UNIVERSITY AV,BURGLARY AUTO,2019-04-29 20:30:00,-122.27499099999999,37.871246
3200 CALIFORNIA ST,DOMESTIC VIOLENCE,2019-04-30 08:51:00,-122.27614399999999,37.849732
2400 BYRON ST,BURGLARY RESIDENTIAL,2019-04-30 16:50:00,-122.289129,37.862994
1300 SAN PABLO AV,THEFT MISD. (UNDER $950),2019-04-30 19:43:00,-122.295798,37.880228
1100 ADDISON ST,THEFT FELONY (OVER $950),2019-04-30 12:00:00,-122.291751,37.868161
2100 PARKER ST,THEFT FROM AUTO,2019-04-30 22:00:00,-122.26708400000001,37.862169
